sc_close,SMA14,ratio,zscore
5934.5,5934.5,0.0,0.0
5932.75,5933.625,0.0,0.0
5932.5,5933.25,0.0,0.0
5932.75,5933.125,0.0,0.0
5932.75,5933.05,0.0,0.0
5933.0,5933.041666666667,0.0,0.0
5933.5,5933.107142857143,0.0,0.0
5934.0,5933.21875,0.0,0.0
5935.0,5933.416666666667,0.0,0.0
5934.5,5933.525,0.0,0.0
5934.0,5933.568181818182,0.0,0.0
5934.0,5933.604166666667,0.0,0.0
5934.5,5933.673076923077,0.0,0.0
5934.75,5933.75,0.0,0.0
5934.75,5933.816666666667,0.0,0.0
5934.0,5933.828125,0.0,0.0
5933.5,5933.808823529412,0.0,0.0
5934.0,5933.819444444444,0.0,0.0
5933.25,5933.789473684211,0.0,0.0
5931.75,5933.6875,0.0,0.0
5931.5,5933.583333333333,0.0,0.0
5932.25,5933.522727272727,0.0,0.0
5932.25,5933.467391304348,0.0,0.0
5931.5,5933.385416666667,0.0,0.0
5931.0,5933.29,0.0,0.0
5931.75,5933.2307692307695,0.0,0.0
5931.0,5933.148148148148,0.0,0.0
5931.75,5933.098214285715,0.0,0.0
5932.0,5933.060344827586,0.0,0.0
5932.75,5933.05,0.0,0.0
5935.75,5933.137096774193,0.0,0.0
5936.0,5933.2265625,0.0,0.0
5935.75,5933.30303030303,0.0,0.0
5935.75,5933.375,0.0,0.0
5935.0,5933.421428571429,0.0,0.0
5935.0,5933.465277777777,0.0,0.0
5934.25,5933.486486486487,0.0,0.0
5935.0,5933.526315789473,0.0,0.0
5936.0,5933.589743589743,0.0,0.0
5935.75,5933.64375,0.0,0.0
