Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
13/05/2025;ESm25;ES;positif;5965;5997;;5716;5683;;5888;5821;5800;5800, 5750, 5700, 5680, 5600, 5500, 5575, 5500, 5575, 5500;5835;5835, 5855, 5900, 5910, 5900, 5910
13/05/2025;NQm25;NQ;positif;21346;21475;;20336;20202;;21020;20748;20800;20800, 20600, 20500, 20400, 20300, 20300;20900;20900, 20950, 21000, 21050, 21150, 21250, 21000, 21050, 21150, 21250, 21000, 21050, 21150, 21250
13/05/2025;RTY m25;RTY;positif;2148;2163;;2028;2013;;2099;2066;2010;2010, 2000, 1990, 1940, 1925, 1900, 1850, 1830, 1830;2070;2070, 2080, 2090, 2125, 2150
13/05/2025;YMm25;YM;positif;43247;43464;;41483;41271;;42722;42248;41800;41800, 41500, 41400, 41200, 41000, 40800, 41200, 41000, 40800;42000;42000, 42500, 42700, 43700, 43700
13/05/2025;6e;6e;non_specifie;1.1300;1.13565;;1.0976;1.092112;;1.1166;1.1082;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
13/05/2025;6j;6j;non_specifie;0.006924;0.006957;;0.006661;0.006629;;0.006815;0.006747;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
13/05/2025;6N;6N;non_specifie;0.5984;0.601392;;0.5810;0.578095;;0.5895;0.5849;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
13/05/2025;6S;6S;non_specifie;1.2102;1.216251;;1.1724;1.166538;;1.1946;1.1848;1.2200;1.2200, 1.2100, 1.1900, 1.1800, 1.1700;1.2300;1.2300, 1.2400, 1.2500
13/05/2025;6a;6a;non_specifie;0.6499;0.653149;;0.6332;0.630034;;0.6409;0.6363;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
