Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
09/05/2025;ESm25;ES;negatif;5762;5779;;5617;5599;;5702;5661;5600;5600, 5500, 5575, 5500, 5450, 5400, 5350, 5150, 5575, 5500, 5450, 5400, 5350, 5150, 5575, 5500, 5450, 5400, 5350, 5150;5650;5650, 5725, 5750, 5795, 5800, 5825, 5900, 5750, 5795, 5800, 5825, 5900
09/05/2025;NQm25;NQ;positif;20425;20488;;19927;19867;;20222;20086;20130;20130, 19900, 19830, 19700, 19600, 19500, 19400, 19400;20000;20000, 20050, 20200, 20300, 20400, 20440, 20500, 20600, 20200, 20300, 20400, 20440, 20500, 20600, 20200, 20300, 20400, 20440, 20500, 20600
09/05/2025;RTY m25;RTY;negatif;2055;2062;;2006;1999;;2035;2021;2000;2000, 1990, 1940, 1925, 1900, 1850, 1830, 1825, 1820, 1830, 1825, 1820;2025;2025, 2050, 2060, 2080, 2090
09/05/2025;YMm25;YM;positif;42020;42152;;40943;40811;;41563;41263;40700;40700, 45000, 40000, 39500, 40000, 39500, 40000, 39500;41000;41000, 41300, 41500, 41750, 41900, 42000, 42500, 41750, 41900, 42000, 42500
09/05/2025;6e;6e;non_specifie;1.1395;1.145197;;1.1112;1.105644;;1.1280;1.1203;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
09/05/2025;6j;6j;non_specifie;0.007029;0.007061;;0.006770;0.006740;;0.006914;0.006844;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
09/05/2025;6N;6N;non_specifie;0.5988;0.601794;;0.5821;0.579189;;0.5920;0.5875;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
09/05/2025;6S;6S;non_specifie;1.2249;1.231024;;1.1915;1.185542;;1.2115;1.2023;1.2200;1.2200, 1.2100, 1.1900;1.2300;1.2300, 1.2400, 1.2500
09/05/2025;6a;6a;non_specifie;0.6478;0.651039;;0.6348;0.631626;;0.6416;0.6381;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
