Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
17/05/2025;ESm25;ES;positif;5978;5995;6011;5850;5834;5817;5948;5911;5950;5950, 5900, 5850, 5800, 5750, 5700, 5680, 5600, 5500, 5575, 5500, 5575, 5500;5925;5925, 5955, 5975, 6000, 6020, 6035, 6100, 5955, 5975, 6000, 6020, 6035, 6100
17/05/2025;NQm25;NQ;positif;21540;21621;21699;20906;20828;20747;21371;21186;21500;21500, 21400, 21300, 21250, 21100, 21000, 20850, 20850;21490;21490, 21570, 21600, 21700, 21800, 22000, 21600, 21700, 21800, 22000, 21600, 21700, 21800, 22000
17/05/2025;RTY m25;RTY;positif;2123;2130;2137;2068;2062;2055;2110;2094;2110;2110, 2100, 2090, 2060, 2050, 2090, 2060, 2050, 2090, 2060, 2050;2075;2075, 2120, 2125, 2140, 2150, 2160
17/05/2025;YMm25;YM;positif;42794;42889;42983;42041;41947;41854;42642;42458;42600;42600, 42400, 42300, 42000, 41600, 41500, 41400, 41200, 41000, 40800, 41200, 41000, 40800;42750;42750, 43000, 43250, 43700, 43700
17/05/2025;6e;6e;non_specifie;1.1288;1.134444;;1.1122;1.106639;;1.1223;1.1177;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
17/05/2025;6j;6j;non_specifie;0.006958;0.006972;;0.006853;0.006839;;0.006927;0.006897;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
17/05/2025;6N;6N;non_specifie;0.5941;0.59707;;0.5851;0.582174;;0.5905;0.5880;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
17/05/2025;6S;6S;non_specifie;1.2106;1.216653;;1.1902;1.184249;;1.2032;1.1975;1.2200;1.2200, 1.2100, 1.1900, 1.1800, 1.1700;1.2300;1.2300, 1.2400, 1.2500
17/05/2025;6a;6a;non_specifie;0.6450;0.648225;;0.6374;0.634213;;0.6422;0.6400;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.645
17/05/2025;GCm25;GC;negatif;3296;3316;;3139;3120;;3223;3178;3215;3215, 3200, 3180, 3175, 3150, 3125, 3100, 3050, 3000, 3150, 3125, 3100, 3050, 3000, 3150, 3125, 3100, 3050, 3000;3235;3235, 3245, 3275, 3300, 3330, 3350, 3400, 3330, 3350, 3400
