Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
1/5/2025;ESm25;ES;negatif;5771;5801;5832;5523;5493;5462;5676;5604;5575;5575, 5525, 5500, 5450, 5400, 5350, 5150, 5100, 5000, 5500, 5450, 5400, 5350, 5150, 5100, 5000, 5500, 5450, 5400, 5350, 5150, 5100, 5000;5600;5600, 5620, 5650, 5675, 5700, 5710, 5750, 5800, 5620, 5650, 5675, 5700, 5710, 5750, 5800
1/5/2025;NQm25;NQ;positif;20535;20682;20825;19377;19229;19086;20083;19743;19600;19600, 19500, 19400, 19300, 19200, 19100, 19000, 19200, 19100, 19000;19700;19700, 19800, 19840, 20000, 20050, 20175, 20250, 20400, 20500, 19840, 20000, 20050, 20175, 20250, 20400, 20500, 19840, 20000, 20050, 20175, 20250, 20400, 20500
1/5/2025;RTY m25;RTY;negatif;2011;2021;2030;1936;1946;1918;1988;1967;1940;1940, 1900, 1850, 1830, 1825, 1820, 1775, 1750, 1830, 1825, 1820, 1775, 1750;1950;1950, 1975, 2000
1/5/2025;CLm25;CL;negatif;60.84;61.5;;55.42;54.78;;58.9;57.4;59;59.00, 58.30, 58.00, 57.80, 56.30, 56.00, 55.00, Hedgies: 55.00;59.3;59.30, 60.00, 60.30, 62.50, 63.00, 63.50
1/5/2025;GCm25;GC;positif;3322;3344;;3151;3129;;3262;3211;3300;3300, 3250, 3225, 3200, 3190, 3150, 3125, 3150, 3125;3350;3350, 3400, 3425, 3450, 3500, 3525, 3400, 3425, 3450, 3500, 3525
1/5/2025;6e;6e;non_specifie;1.1434;1.149117;;1.1234;1.117783;;1.1392;1.1336;1.115;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.145;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
1/5/2025;6j;6j;non_specifie;0.007051;0.007068;;0.006915;0.006898;;0.007005;0.006963;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
1/5/2025;6N;6N;non_specifie;0.5999;0.602899;;0.5898;0.586851;;0.5957;0.593;0.6;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
1/5/2025;6S;6S;non_specifie;1.2223;1.228411;;1.2075;1.201463;;1.2171;1.2127;1.22;1.2200, 1.2100, 1.1900;1.23;1.2300, 1.2400, 1.2500
1/5/2025;6a;6a;non_specifie;0.6457;0.648929;;0.6351;0.631925;;0.6427;0.6398;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
1/5/2025;VIX;VIX;positif;32.77;34.75;;16.81;;;26.77;22.07;24;24.00, 22.00, 20.00, 19.00;25;25.00, 30.00, 35.00, 40.00, 42.00, 43, 50.00, 75.00
1/5/2025;VXN;VXN;non_specifie;35.79;37.75;;19.89;;;30.12;25.51;20;20.00, 19.00, 18.00, 16.00, 18.00, 16.00, 18.00, 16.00;40;40.00, 45.00, 50.00, 55.00, 60.00
1/5/2025;RVX;RVX;non_specifie;34.1;35.52;;22.7;;;30.13;26.79;21;21.00, 20.00, 15.00;40;40.00, 45.00, 50.00, 60.00, 34.00, 40, 42.00, 50.00, 60.00, 70.00, 34.00, 40, 42.00, 50.00, 60.00, 70.00
 ;;;;;;;;;;;;;;;
