Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Min_1D;Min_1D_event;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
24/04/2025;ESm25;ES;negatif;5479;5501;5305;5284;5405;5358;5300;5300, 5200, 5150, 5100, 5000, 4900, 4800, 4700;5400;5400, 5200, 5150, 5100, 5000, 4900, 4800, 4700
24/04/2025;NQm25;NQ;negatif;19070;19156;18387;18301;18847;18658;18700;18700, 18400, 18200, 18100, 19000, 19100, 19300, 19500;18800;18800, 18900, 19000, 19100, 19300, 19500
24/04/2025;RTY m25;RTY;negatif;1960;1872;1882;1872;1924;1901;1850;1850, 1830, 1825, 1820, 1775, 1750, 1700;1900;1900, 1925, 1940, 1950, 1975, 2000
24/04/2025;YMm25;YM;negatif;40304;40478;38963;38790;39682;39299;39000;39000, 38000, 37000, 36500;39600;39600, 38000, 37000, 36500
24/04/2025;CLm25;CL;negatif;66.06;67.01;58.59;57.66;63.10;61.00;61.00;61.00, 60.50, 60.00, 59.50, 58.50, Hedgies: 69.50, 69.00, 68.00;62.50;62.50, 63.00, 63.50, 64.00, 64.50, 65.00, 65.50
24/04/2025;NG k25;NG;negatif;3.06;3.08;2.94;2.89;3.03;2.98;3.00;3.00, 2.80;3.10;3.10, 2.80
24/04/2025;GCm25;GC;positif;3421;3441;3256;3236;3369;3324;3400;3400, 3350, 3200, 3300, 3275, 3250, 3350, 3400, 3450, 3475, 3500, 3600, 3700;3300;3300, 3250, 3275, 3300, 3350, 3400, 3450, 3475, 3500, 3600, 3700
24/04/2025;6e;6e;non_specifie;1.1490;1.154745;1.1260;1.12037;1.1406;1.1341;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
24/04/2025;6j;6j;non_specifie;0.007155;0.007183;0.006935;0.006908;0.007062;0.007000;0.007125;0.007125, 0.007075, 0.007050;0.007175;0.007175, 0.007200, 0.007250, 0.007300
