Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
29/04/2025;ESm25;ES;negatif;5631;5648;5666;5484;5462;5444;5588;5545;0;0, 5525, 5500, 5450, 5425, 5400, 5350, 5150, 5100, 5000, 5500, 5450, 5425, 5400, 5350, 5150, 5100, 5000, 5500, 5450, 5425, 5400, 5350, 5150, 5100, 5000;0;0, 5550, 5600, 5610, 5625, 5650, 5675, 5600, 5610, 5625, 5650, 5675
29/04/2025;NQm25;NQ;positif;19943;20031;20118;19239;19152;19062;19694;19494;0;0, 19500, 19000, 18700, 18600, 18400, 18200, 18000, 17650, 18000, 17650;0;0, 19600, 19650, 19700, 19800, 19900, 20000, 19650, 19700, 19800, 19900, 20000, 19650, 19700, 19800, 19900, 20000
29/04/2025;RTY m25;RTY;negatif;1999;2007;;1945;1939;;1982;1966;0;0, 1950, 1925, 1900, 1850, 1830, 1825, 1820, 1775, 1750, 1830, 1825, 1820, 1775, 1750;0;0, 1960, 1975, 2000
29/04/2025;YMm25;YM;negatif;40855;40954;;40054;39957;;40552;40325;0;0, 40000, 39800, 39500, 39400, 38900, 39500, 39400, 38900, 39500, 39400, 38900;0;0, 40800, 41600, 41600
29/04/2025;6e;6e;non_specifie;1.1504;1.156152;;1.1317;1.126041;;1.1459;1.1407;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
29/04/2025;6j;6j;non_specifie;0.007160;0.007187;;0.006947;0.006921;;0.007101;0.007042;0.007125;0.007125, 0.007075, 0.007050, 0.006900;0.007175;0.007175, 0.007200, 0.007250, 0.007300
29/04/2025;6N;6N;non_specifie;0.5999;0.602899;;0.5918;0.588841;;0.5979;0.5956;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
29/04/2025;6S;6S;non_specifie;1.2396;1.245798;;1.2000;1.194;;1.2288;1.2177;1.2200;1.2200, 1.2100, 1.1900;1.2300;1.2300, 1.2400, 1.2500
29/04/2025;6a;6a;non_specifie;0.6477;0.650938;;0.6354;0.632223;;0.6446;0.6412;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
29/04/2025;VIX;VIX;negatif;26.96;27.44;;23.28;;;25.76;24.67;24.00;24.00, 22.00, 20.00, 19.00;25.00;25.00, 30.00, 35.00, 40.00, 42.00, 43, 50.00, 75.00
29/04/2025;VXN;VXN;non_specifie;30.59;31.08;;26.53;;;29.43;28.21;20.00;20.00, 19.00, 18.00, 16.00, 18.00, 16.00, 18.00, 16.00;40.00;40.00, 45.00, 50.00, 55.00, 60.00
29/04/2025;RVX;RVX;non_specifie;30.97;31.41;;27.35;;;29.91;28.87;21.00;21.00, 20.00, 15.00;40.00;40.00, 45.00, 50.00, 60.00
29/04/2025;GCm25;GC;positif;3364;3373;;3284;3274;;3326;3302;3300;3300, 3290, 3275, 3240, 3200, 3185, 3185;3400;3400, 3425, 3450, 3475, 3500, 3600, 3425, 3450, 3475, 3500, 3600
29/04/2025;CLm25;CL;negatif;63.74;64.29;;59.33;58.77;;62.22;60.99;61.00;61.00, 60.50, 60.00, 59.50, 58.50, 69.50, 69.00, 68.00, Hedgies: 69.50, 69.00, 68.00;62.50;62.50, 63.00, 63.50, 64.00, 64.50, 65.00, 65.50
