Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Min_1D;Min_1D_event;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
28/04/2025;ESm25;ES;negatif;5580;5594;5458;5442;5526;5493;5500;5500, 5450, 5400, 5350, 5150, 5100, 5000, 4900;5510;5510, 5450, 5400, 5350, 5150, 5100, 5000, 4900
28/04/2025;NQm25;NQ;positif;19706;19777;19140;19066;19466;19306;19500;19500, 19000, 18700, 18600, 18400, 18200, 19700, 19800, 19900, 20000;19600;19600, 19700, 19800, 19900, 20000
28/04/2025;RTY m25;RTY;negatif;1973;1914;1921;1914;1958;1944;1930;1930, 1850, 1830, 1825, 1820, 1775, 1750, 1700;1950;1950, 1975, 2000
28/04/2025;YMm25;YM;negatif;40449;40533;39747;39658;40252;40055;39500;39500, 39000, 38000, 37000, 36500;39600;39600, 38000, 37000, 36500
28/04/2025;GCm25;GC;positif;3364;3379;3245;3229;3326;3296;3400;3400, 3350, 3200, 3300, 3275, 3250, 3350, 3400, 3450, 3475, 3500, 3600, 3700;3300;3300, 3250, 3275, 3300, 3350, 3400, 3450, 3475, 3500, 3600, 3700
28/04/2025;CLm25;CL;negatif;64.80;65.18;61.81;61.45;63.27;62.43;61.00;61.00, 60.50, 60.00, 59.50, 58.50, Hedgies: 69.50, 69.00, 68.00;62.50;62.50, 63.00, 63.50, 64.00, 64.50, 65.00, 65.50
28/04/2025;NG k25;NG;negatif;3.52;3.61;2.79;2.70;3.19;2.99;3.00;3.00, 2.80;3.10;3.10, 2.80
28/04/2025;6j;6j;non_specifie;0.007038;0.007046;0.006980;0.006972;0.007014;0.006997;0.007075;0.007075, 0.007050, 0.006900;0.007175;0.007175, 0.007200, 0.007250, 0.007300
