Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
12/05/2025;ESm25;ES;positif;5866;5892;;5654;5628;;5758;5697;5680;5680, 5600, 5500, 5575, 5500, 5450, 5400, 5350, 5575, 5500, 5450, 5400, 5350;5700;5700, 5770, 5800, 5825, 5850, 5900, 5800, 5825, 5850, 5900
12/05/2025;NQm25;NQ;positif;21048;21779;;20004;19873;;20518;20216;20100;20100, 20000, 19800, 19700, 19600, 19500, 19400, 19400;20200;20200, 20400, 20500, 20675, 21000, 21200, 20500, 20675, 21000, 21200, 20500, 20675, 21000, 21200
12/05/2025;RTY m25;RTY;positif;2129;2144;;2009;1994;;2073;2037;2010;2010, 2000, 1990, 1940, 1925, 1900, 1850, 1830, 1830;2025;2025, 2050, 2060, 2080, 2090, 21100
12/05/2025;6e;6e;non_specifie;1.1308;1.136454;;1.1196;1.114002;;1.1262;1.1230;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
12/05/2025;6j;6j;non_specifie;0.006935;0.006947;;0.006825;0.006811;;0.006911;0.006888;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
12/05/2025;6N;6N;non_specifie;0.5981;0.60109;;0.5886;0.585657;;0.5945;0.5917;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
12/05/2025;6S;6S;non_specifie;1.2127;1.218763;;1.1953;1.189323;;1.2084;1.2035;1.2200;1.2200, 1.2100, 1.1900;1.2300;1.2300, 1.2400, 1.2500
12/05/2025;6a;6a;non_specifie;0.6469;0.650134;;0.6398;0.636601;;0.6436;0.6416;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
