Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
15/05/2025;ESm25;ES;positif;5921;5927;5933;5876;5869;5964;5904;5891;5905;5905, 5850, 5825, 5750, 5700, 5680, 5600, 5500, 5575, 5500, 5575, 5500;5950;5950, 5960, 6000, 5960, 6000
15/05/2025;NQm25;NQ;positif;21530;21562;21591;21239;20203;21167;21427;21355;21350;21350, 21250, 21100, 21000, 20850, 20850;21500;21500, 21750, 21750, 21750
15/05/2025;RTY m25;RTY;positif;2116;2123;2130;2061;2054;2047;2091;2083;2070;2070, 2060, 2050, 2060, 2050, 2060, 2050;2075;2075, 2100, 2130, 2140, 2150
15/05/2025;6e;6e;non_specifie;1.1289;1.134544;;1.1137;1.108131;;1.1242;1.1200;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
15/05/2025;6j;6j;non_specifie;0.006930;0.006946;;0.006805;0.006789;;0.006865;0.006831;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
15/05/2025;6N;6N;non_specifie;0.5978;0.600789;;0.5811;0.578194;;0.5924;0.5877;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
15/05/2025;6S;6S;non_specifie;1.2060;1.21203;;1.1825;1.176588;;1.1979;1.1913;1.2200;1.2200, 1.2100, 1.1900, 1.1800, 1.1700;1.2300;1.2300, 1.2400, 1.2500
15/05/2025;6a;6a;non_specifie;0.6504;0.653652;;0.6346;0.631427;;0.6454;0.6409;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
