Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Min_1D;Min_1D_event;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
27/03/2025;ESm25;ES;negatif;5884;5914;5650;5621;5784;5718;5760;5760;5800;5800
27/03/2025;NQm25;NQ;negatif;20763;20921;19491;19333;20232;19882;20100;20100;20500;20500
27/03/2025;RTYm25;RTY;negatif;2098;2048;2057;2048;2102;2079;2090;2090;2100;2100, 2110, 2125, 2150
27/03/2025;YMm25;YM;negatif;43226;43328;42411;42310;42896;42670;42200;42200;42500;42500, 42800, 43000
27/03/2025;GCj25;GC;positif;2939;2948;2863;2854;2906;2885;2900;2900;2925;2925
27/03/2025;CLk25;CL;negatif;62.44;62.76;60.02;59.70;3.36;3.19;59.50;59.50, 58.50, 56.00, 55.00, 54.00;61.30;61.30, 62.00, 62.80, 63.00, 63.30
27/03/2025;NGk25;NG;negatif;3.59;3.67;3.00;2.93;3.36;3.19;3.85;3.85, 3.50;4.10;4.10
27/03/2025;TTFk25;TTF;positif;37.01;37.64;31.58;30.88;35.69;34.12;37.00;37.00, 36.00, 35.00, 34.00, 32.00, 30.00, 29.00, 28.00;39.00;39.00, 40.00, 45.00
