Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
14/05/2025;ESm25;ES;positif;6014;6041;;5797;5770;;5945;5884;5855;5855, 5750, 5700, 5680, 5600, 5500, 5575, 5500, 5575, 5500;5925;5925, 5950, 5975, 5600, 5975, 5600
14/05/2025;NQm25;NQ;positif;22010;22191;;20577;20406;;21539;21143;21250;21250, 21100, 21000, 20850, 20850;21500;21500, 21750, 21750, 21750
14/05/2025;RTY m25;RTY;positif;2135;2143;;2075;2068;;2116;2099;2090;2090, 2025, 2025, 2025;2100;2100, 2130, 2140, 2150
14/05/2025;YMm25;YM;positif;42492;42560;;41994;41930;;42316;42179;41800;41800, 41500, 41400, 41200, 41000, 40800, 41200, 41000, 40800;42000;42000, 42500, 42700, 43700, 43700
14/05/2025;6e;6e;non_specifie;1.1340;1.13967;;1.1082;1.102659;;1.1256;1.1185;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
14/05/2025;6j;6j;non_specifie;0.006883;0.006895;;0.006779;0.006766;;0.006830;0.006800;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
14/05/2025;6N;6N;non_specifie;0.6033;0.606316;;0.5860;0.58307;;0.5979;0.5931;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
14/05/2025;6S;6S;non_specifie;1.2050;1.211025;;1.1893;1.183353;;1.1987;1.1944;1.2200;1.2200, 1.2100, 1.1900, 1.1800, 1.1700;1.2300;1.2300, 1.2400, 1.2500
14/05/2025;6a;6a;non_specifie;0.6587;0.661993;;0.6360;0.63282;;0.6518;0.6456;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
