Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Min_1D;Min_1D_event;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
21/04/2025;ESm25;ES;negatif;5451;5477;5239;5212;5375;5318;5400;5400;5450;5450, 5500
21/04/2026;NQm25;NQ;negatif;18954;19059;18116;18008;18690;18458;19000;19000, 18600;18700;18700
21/04/2027;RTYm25;RTY;negatif;1927;1845;1854;1845;1893;1872;1875;1875;1850;1850
21/04/2028;YMm25;YM;negatif;40924;41130;39299;39096;40297;39909;40400;40400;41000;41000
