Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
08/05/2025;ESm25;ES;negatif;5757;5772;;5635;5619;;5704;5667;5700;5700, 5645, 5600, 5500, 5575, 5500, 5450, 5400, 5350, 5150, 5575, 5500, 5450, 5400, 5350, 5150;5650;5650, 5725, 5750, 5795, 5800, 5825, 5900, 5750, 5795, 5800, 5825, 5900
08/05/2025;NQm25;NQ;positif;20494;20574;;19853;19775;;20216;20028;20300;20300, 20100, 19950, 19875, 19700, 19600, 19500, 19400, 19400;20000;20000, 20175, 20250, 20350, 20400, 20600, 20250, 20350, 20400, 20600, 20250, 20350, 20400, 20600
08/05/2025;RTY m25;RTY;negatif;2037;2043;;1992;1986;;2016;2002;1990;1990, 1975, 1940, 1925, 1900, 1850, 1830, 1825, 1820, 1830, 1825, 1820;2010;2010, 2020, 2030, 2040, 2050
08/05/2025;6e;6e;non_specifie;1.1426;1.148313;;1.1263;1.120669;;1.1370;1.1323;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
08/05/2025;6j;6j;non_specifie;0.007033;0.007045;;0.006935;0.006923;;0.007000;0.006972;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
08/05/2025;6N;6N;non_specifie;0.6053;0.608326;;0.5895;0.586553;;0.5982;0.5938;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
08/05/2025;6S;6S;non_specifie;1.2272;1.233336;;1.2103;1.204248;;1.2218;1.2170;1.2200;1.2200, 1.2100, 1.1900;1.2300;1.2300, 1.2400, 1.2500
08/05/2025;6a;6a;non_specifie;0.6523;0.655561;;0.6386;0.635407;;0.6465;0.6427;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
08/05/2025;GCm25;GC;positif;3421;3430;;3355;3346;;3393;3374;3250;3250, 3225, 3200, 3190, 3150, 3125, 3150, 3125, 3150, 3125;3300;3300, 3350, 3400, 3450, 3475, 3500, 3550, 3560, 3600, 3400, 3450, 3475, 3500, 3550, 3560, 3600
08/05/2025;CLm25;CL;negatif;60.63;61.82;;51.27;50.10;;57.66;55.02;59.00;59.00, 58.30, 58.00, 57.80, 56.30, 56.00, 55.00, Hedgies: 55.00;59.30;59.30, 60.00, 60.30, 62.50, 63.00, 63.50
