Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Min_1D;Min_1D_event;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
23/04/2025;ESm25;ES;negatif;5572;5615;5221;5177;5449;5352;5300;5300, 5200, 5150, 5100, 5000, 4900, 4800, 4700;5400;5400, 5200, 5150, 5100, 5000, 4900, 4800, 4700
23/04/2025;NQm25;NQ;negatif;19365;19525;18061;17901;18893;18529;18200;18200, 18100, 19000, 19100, 19300, 19500;18900;18900, 19000, 19100, 19300, 19500
23/04/2025;RTY m25;RTY;negatif;2007;1841;1859;1841;1957;1916;1850;1850, 1830, 1825, 1820, 1775, 1750, 1700;1880;1880, 1900, 1925, 1940, 1950, 1975, 2000
23/04/2025;YMm25;YM;negatif;40932;41212;38688;38408;40177;39555;39000;39000, 38000, 37000, 36500;39600;39600, 38000, 37000, 36500
23/04/2025;GCm25;GC;positif;3453;3478;3256;3231;3384;3329;3400;3400, 3350, 3200, 3300, 3275, 3250, 3350, 3400, 3450, 3475, 3500, 3600, 3700;3250;3250, 3275, 3300, 3350, 3400, 3450, 3475, 3500, 3600, 3700
23/04/2025;CLk25;CL;positif;65.33;65.61;63.11;62.83;64.27;63.64;61.00;61.00, 60.50, 60.00, 59.50, 58.50, Hedgies: 69.50, 69.00, 68.00;62.50;62.50, 63.00, 63.50, 64.00, 64.50, 65.00, 65.50
23/04/2025;NG k25;NG;negatif;3.08;3.09;2.95;2.93;3.04;3.01;3.00;3.00, 2.80;3.10;3.10, 2.80
23/04/2025;6e;6e;non_specifie;1.1558;1.161579;1.1295;1.123852;1.1458;1.1387;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
23/04/2025;6j;6j;non_specifie;0.007192;0.007218;0.006983;0.006956;0.007108;0.007052;0.007125;0.007125, 0.007075, 0.007050;0.007175;0.007175, 0.007200, 0.007250, 0.007300
