Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Min_1D;Min_1D_event;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
25/04/2025;ESm25;ES;negatif;5608;5626;5463;5445;5559;5519;5350;5350, 5300, 5200, 5150, 5100, 5000, 4900;5400;5400, 5300, 5200, 5150, 5100, 5000, 4900
25/04/2025;NQm25;NQ;negatif;19753;19833;19101;19018;19535;19356;18800;18800, 18700, 18400, 18200, 18100, 19600, 19700, 19800, 19900;19500;19500, 19600, 19700, 19800, 19900
25/04/2025;RTY m25;RTY;negatif;1982;1938;1943;1938;1967;1957;1850;1850, 1830, 1825, 1820, 1775, 1750, 1700;1900;1900, 1925, 1940, 1950, 1975, 2000
25/04/2025;YMm25;YM;negatif;40567;40640;39990;39917;40336;40200;39000;39000, 38000, 37000, 36500;39600;39600, 38000, 37000, 36500
25/04/2025;CLm25;CL;negatif;66.13;66.83;60.50;59.80;63.74;62.18;61.00;61.00, 60.50, 60.00, 59.50, 58.50, Hedgies: 69.50, 69.00, 68.00;62.50;62.50, 63.00, 63.50, 64.00, 64.50, 65.00, 65.50
25/04/2025;NG k25;NG;negatif;3.10;3.14;2.77;2.73;2.98;2.88;3.00;3.00, 2.80;3.10;3.10, 2.80
25/04/2025;6e;6e;non_specifie;1.1437;1.149418;1.1302;1.124549;1.1393;1.1355;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
25/04/2025;6j;6j;non_specifie;0.007053;0.007065;0.006949;0.006936;0.007019;0.006987;0.007125;0.007125, 0.007075, 0.007050, 0.006900;0.007175;0.007175, 0.007200, 0.007250, 0.007300
