Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
22/05/2025;ESm25;ES;negatif;5980;6008;6037;5749;5720;5691;5890;5827;5900;5900, 5850, 5800, 5750, 5700, 5680, 5600, 5500, 5575, 5500, 5575, 5500;5925;5925, 5975, 6000, 6020, 6050, 6020, 6050
22/05/2025;NQm25;NQ;positif;21654;21779;21904;20668;20546;20424;21273;21007;21200;21200, 21000, 20850, 20850;21225;21225, 21250, 21350, 21480, 21450, 21550, 21600, 21700, 21600, 21700
22/05/2025;RTY m25;RTY;negatif;2103;2115;2127;2004;1992;1980;2065;2039;2075;2075, 2050, 2025, 2000, 2000;2120;2120, 2125, 2140, 2150, 2160
22/05/2025;YMm25;YM;negatif;42574;42740;42901;41279;41122;40961;42082;41738;42400;42400, 42250, 42200, 41400, 41200, 41000, 40800, 41400, 41200, 41000, 40800;42500;42500, 42750, 43000, 43250, 43250
22/05/2025;GCm25;GC;positif;3378;3388;;3300;3291;;3349;3327;3315;3315, 3250, 3225, 3200, 3150, 3125, 3100, 3050, 3000, 3150, 3125, 3100, 3050, 3000, 3150, 3125, 3100, 3050, 3000;3325;3325, 3250, 3400, 3460, 3500, 3460, 3500
22/05/2025;6e;6e;non_specifie;1.1382;1.143891;;1.1316;1.125942;;1.1367;1.1348;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
22/05/2025;6j;6j;non_specifie;0.007036;0.007046;;0.006954;0.006945;;0.006994;0.006971;0.007125;0.007125, 0.007075, 0.007050, 0.006900, 0.006800;0.007175;0.007175, 0.007200, 0.007250, 0.007300
22/05/2025;6N;6N;non_specifie;0.5975;0.600487;;0.5898;0.586851;;0.5956;0.5934;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
22/05/2025;6S;6S;non_specifie;1.2221;1.22821;;1.2096;1.203552;;1.2177;1.2141;1.2200;1.2200, 1.2100, 1.1900, 1.1800, 1.1700;1.2300;1.2300, 1.2400, 1.2500
22/05/2025;6a;6a;non_specifie;0.6486;0.651843;;0.6421;0.638889;;0.6457;0.6438;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
